Department,Département,Committee,Comité,Service Area,Secteur de d'activité,Project,Projet,Total,Expense Type,Reduces Greenhouse Gases?,Réduction des émissions de gaz à effet de serre?,Reduces Greenhouse Gases? - Count,Builds climate resiliency?,Renforcer la résilience climatique?,Builds climate resiliency? - Count,Rate Supported,Category of Capital Program,Catégorie de programme d'immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,"Integrated Roads, Water & Wastewater","Réfection intégrée des routes, des réseaux d’aqueduc et d’égouts ",911270 24-26 Infrastructure Assess &Data Collec,911270 Évaluation de l’infrastructure et collecte des données 24-26, 480 ,Capital, No  ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,"Integrated Roads, Water & Wastewater","Réfection intégrée des routes, des réseaux d’aqueduc et d’égouts ",911271 24-26 Integrated Scoping Pre/Post Eng,911271 Délimitations préalable et subséquente des travaux d’ingénierie 24-26," 2,900 ",Capital, No  ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,"Integrated Roads, Water & Wastewater","Réfection intégrée des routes, des réseaux d’aqueduc et d’égouts ",911273 24-26 Road Resurfacing - CW,911273 Réfection de la chaussée 24-26 – ensemble du territoire de la Ville ," 69,512 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,"Integrated Roads, Water & Wastewater","Réfection intégrée des routes, des réseaux d’aqueduc et d’égouts ",911274 24-26 Comprehensive Asset Management,911274 Gestion intégrale des actifs 24-26, 800 ,Capital, No  ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,"Integrated Roads, Water & Wastewater","Réfection intégrée des routes, des réseaux d’aqueduc et d’égouts ",911281 Kent (James to Somerset West),911281 Kent (De James à Somerset Ouest)," 1,000 ",Capital, No  ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,"Integrated Roads, Water & Wastewater","Réfection intégrée des routes, des réseaux d’aqueduc et d’égouts ",911450 Taunton Pl Rd & Water (Davidson-DeadEnd),911450 Taunton Pl Rd et Water (Davidson-DeadEnd)," 1,590 ",Capital, No  ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,"Integrated Roads, Water & Wastewater","Réfection intégrée des routes, des réseaux d’aqueduc et d’égouts ",911573 Emperor and Bakervale,911573 Avenue Emperor et promenade Bakervale," 1,500 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,"Integrated Roads, Water & Wastewater","Réfection intégrée des routes, des réseaux d’aqueduc et d’égouts ",911574 Granville-Alfred-Cantin-StDenis,"911574 Rues Granville, Alfred, Cantin et St-Denis"," 1,500 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,"Integrated Roads, Water & Wastewater","Réfection intégrée des routes, des réseaux d’aqueduc et d’égouts ",911575 Hemlock Rd,911575 Chemin Hemlock," 1,000 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,"Integrated Roads, Water & Wastewater","Réfection intégrée des routes, des réseaux d’aqueduc et d’égouts ","911576 Henry Farm, Terrebonne & Maygrove","911576 Promenades Henry Farm et Terrebonne, et cercle Marygrove"," 1,500 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,"Integrated Roads, Water & Wastewater","Réfection intégrée des routes, des réseaux d’aqueduc et d’égouts ","911577 Keats, Devon, Pullen, etc","911577 Avenue Keats, rue Devon, avenue Pullen, etc."," 1,500 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,"Integrated Roads, Water & Wastewater","Réfection intégrée des routes, des réseaux d’aqueduc et d’égouts ",911578 Northwestern Ave,911578 Avenue Northwestern," 1,000 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,"Integrated Roads, Water & Wastewater","Réfection intégrée des routes, des réseaux d’aqueduc et d’égouts ",911579 O'Connor St,911579 Rue O'Connor," 3,500 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,"Integrated Roads, Water & Wastewater","Réfection intégrée des routes, des réseaux d’aqueduc et d’égouts ",911580 Prince Albert & Queen Mary,911580 Rues Prince Albert et Queen Mary," 3,000 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,"Integrated Roads, Water & Wastewater","Réfection intégrée des routes, des réseaux d’aqueduc et d’égouts ",911581 Roosevelt-Danforth-LowerByron,"911581 Avenues Roosevelt, Danforth et Lower Byron"," 1,000 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,"Integrated Roads, Water & Wastewater","Réfection intégrée des routes, des réseaux d’aqueduc et d’égouts ","911582 Vincent Massey, Pere Charlebois, etc","911582 Avenue Vincent-Massey, avenue du Père-Charlebois, etc."," 1,000 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,"Integrated Roads, Water & Wastewater","Réfection intégrée des routes, des réseaux d’aqueduc et d’égouts ",911583 Alta Vista (Bank - Billings),911583 Promenade Alta Vista (de la rue Bank à l'avenue Billings)," 3,001 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,"Integrated Roads, Water & Wastewater","Réfection intégrée des routes, des réseaux d’aqueduc et d’égouts ",911584 Bank St - Riverside to Ledbury (Phase I),911584 Rue Bank - de la promenade Riverside à l'avenue Ledbury (phase 1)," 25,000 ",Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,"Integrated Roads, Water & Wastewater","Réfection intégrée des routes, des réseaux d’aqueduc et d’égouts ",911585 Bronson Ave (First to Rideau Canal),911585 Avenue Bronson (de l'avenue First au canal Rideau)," 1,000 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,"Integrated Roads, Water & Wastewater","Réfection intégrée des routes, des réseaux d’aqueduc et d’égouts ",911586 Carling (Bronson to Bayswater),911586 Avenue Carling (de l'avenue Bronson à l'avenue Bayswater)," 1,500 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,"Integrated Roads, Water & Wastewater","Réfection intégrée des routes, des réseaux d’aqueduc et d’égouts ",911587 Catherine (Percy to Elgin),911587 Rue Catherine (de la rue Percy à la rue Elgin)," 1,500 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,"Integrated Roads, Water & Wastewater","Réfection intégrée des routes, des réseaux d’aqueduc et d’égouts ",911588 Chamberlain & Isabella,911588 Avenue Chamberlain et rue Isabella," 1,500 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,Transportation Services,Services des transports,908597 MacKenzie King Bridge [012200-1],908597 Pont MacKenzie-King [012200-1]," 2,870 ",Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,Transportation Services,Services des transports,911253 24-26 Buildings-Road Services,911253 Bâtiments 24-26 – Services des routes," 2,100 ",Capital, No  ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,Transportation Services,Services des transports,911272 24-26 Traffic Induced Vibration Remed,911272 Correction des vibrations induites par la circulation 24-26," 1,700 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
