Department,Département,Committee,Comité,Service Area,Secteur de d'activité,Description,Description (FR),Frais 2023,2023 Fee,Frais 2024,2024 Fee,Frais 2025,2025 Fee,Augmentation,Increase,Effective starting,Date d'entrée en vigueur ,ColSearch,ColSearch_FR
Finance and Corporate Services Department,Direction générale des finances et des services organisationnels,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Revenue Services,Services des recettes,Bill Reprint/Statement of Account History : Water,Réimpression de la facture de services d'eau/Relevé historique de compte,,,41,41,41,41,0.00%,0.00%,2025-01-01,2025-01-01,Finance and Corporate Services Department Finance and Corporate Services Committee Revenue Services Bill Reprint/Statement of Account History : Water,Direction générale des finances et des services organisationnels Comité des finances et des services organisationnels Services des recettes Réimpression de la facture de services d'eau/Relevé historique de compte
Finance and Corporate Services Department,Direction générale des finances et des services organisationnels,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Revenue Services,Services des recettes,Collection Handling Fee,Frais de gestion de recouvrement,,,50,50,53,53,6.00%,6.00%,2025-01-01,2025-01-01,Finance and Corporate Services Department Finance and Corporate Services Committee Revenue Services Collection Handling Fee,Direction générale des finances et des services organisationnels Comité des finances et des services organisationnels Services des recettes Frais de gestion de recouvrement
Finance and Corporate Services Department,Direction générale des finances et des services organisationnels,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Revenue Services,Services des recettes,Corporate Accounts Receivable Interest,Intérêts sur les comptes débiteurs municipaux,,,"intérêt composé de 1,25 % par mois",1.25 % Compounded per month,"intérêt composé de 1,25 % par mois",1.25 % Compounded per month,-,-,2025-01-01,2025-01-01,Finance and Corporate Services Department Finance and Corporate Services Committee Revenue Services Corporate Accounts Receivable Interest,Direction générale des finances et des services organisationnels Comité des finances et des services organisationnels Services des recettes Intérêts sur les comptes débiteurs municipaux
Finance and Corporate Services Department,Direction générale des finances et des services organisationnels,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Revenue Services,Services des recettes,Credit Card/Mastercard Visa Debit Service fee,Frais de gestion pour les transactions faites par carte de crédit (Visa ou Mastercard) ou carte de débit (Visa Débit),,,1.99%,1.99%,1.99%,1.99%,0.00%,0.00%,2025-01-01,2025-01-01,Finance and Corporate Services Department Finance and Corporate Services Committee Revenue Services Credit Card/Mastercard Visa Debit Service fee,Direction générale des finances et des services organisationnels Comité des finances et des services organisationnels Services des recettes Frais de gestion pour les transactions faites par carte de crédit (Visa ou Mastercard) ou carte de débit (Visa Débit)
Finance and Corporate Services Department,Direction générale des finances et des services organisationnels,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Revenue Services,Services des recettes,Deferral Program:  New Application,Programme de report de paiement : Nouvelle demande,,,160,160,164,164,2.50%,2.50%,2025-01-01,2025-01-01,Finance and Corporate Services Department Finance and Corporate Services Committee Revenue Services Deferral Program:  New Application,Direction générale des finances et des services organisationnels Comité des finances et des services organisationnels Services des recettes Programme de report de paiement : Nouvelle demande
Finance and Corporate Services Department,Direction générale des finances et des services organisationnels,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Revenue Services,Services des recettes,Deferral Program:  Renewal,Programme de report de paiement : Renouvellement,,,56,56,58,58,3.60%,3.60%,2025-01-01,2025-01-01,Finance and Corporate Services Department Finance and Corporate Services Committee Revenue Services Deferral Program:  Renewal,Direction générale des finances et des services organisationnels Comité des finances et des services organisationnels Services des recettes Programme de report de paiement : Renouvellement
Finance and Corporate Services Department,Direction générale des finances et des services organisationnels,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Revenue Services,Services des recettes,Expenses for Tax Sale Proceedings,Dépenses de procédures de vente pour impôts,,,1200,1200,1300,1300,8.30%,8.30%,2025-01-01,2025-01-01,Finance and Corporate Services Department Finance and Corporate Services Committee Revenue Services Expenses for Tax Sale Proceedings,Direction générale des finances et des services organisationnels Comité des finances et des services organisationnels Services des recettes Dépenses de procédures de vente pour impôts
Finance and Corporate Services Department,Direction générale des finances et des services organisationnels,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Revenue Services,Services des recettes,Extension Agreement,Accord de prorogation,,,945,945,969,969,2.50%,2.50%,2025-01-01,2025-01-01,Finance and Corporate Services Department Finance and Corporate Services Committee Revenue Services Extension Agreement,Direction générale des finances et des services organisationnels Comité des finances et des services organisationnels Services des recettes Accord de prorogation
Finance and Corporate Services Department,Direction générale des finances et des services organisationnels,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Revenue Services,Services des recettes,Legal Cost,Frais juridiques,,,Coût réel,Actual cost,Coût réel,Actual cost,-,-,2025-01-01,2025-01-01,Finance and Corporate Services Department Finance and Corporate Services Committee Revenue Services Legal Cost,Direction générale des finances et des services organisationnels Comité des finances et des services organisationnels Services des recettes Frais juridiques
Finance and Corporate Services Department,Direction générale des finances et des services organisationnels,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Revenue Services,Services des recettes,Mortgage List and Bulk Maintenance:  Tax,Liste des prêts hypothécaires et entretien global — Taxes,,,19,19,20,20,5.30%,5.30%,2025-01-01,2025-01-01,Finance and Corporate Services Department Finance and Corporate Services Committee Revenue Services Mortgage List and Bulk Maintenance:  Tax,Direction générale des finances et des services organisationnels Comité des finances et des services organisationnels Services des recettes Liste des prêts hypothécaires et entretien global — Taxes
